museum,sample,family,genus,species,dissection_date,conopid_id,conopid,W,M,apicystis,crithidia,nosema,tot,site2,distance_km,collection_date,Round,plantgen,plantsp,collmeth,idnotes,dissection_notes
ESI,2023-284,Apidae,Bombus,impatiens,6/26/24,C284,1,1,0,0,0,0,1,2km-004,2.00,8/13/23,2,Monarda,fistulosa,Parasite Analyses,,"large conopid, reduced organs"
ESI,2023-280,Apidae,Bombus,griseocollis,6/26/24,"C280A, C280B",1,1,0,0,0,0,1,2km-004,2.00,8/13/23,2,Monarda,fistulosa,Parasite Analyses,,2 same size medium/large conopid
ESI,2023-274,Apidae,Bombus,vagans,6/25/24,C274,1,0,1,0,0,0,1,2km-003,2.00,8/12/23,2,Agastache,foeniculum,Parasite Analyses,,small conopid (?)
ESI,2023-265,Apidae,Bombus,griseocollis,6/26/24,C265,1,1,0,0,0,0,1,2km-003,2.00,8/12/23,2,Agastache,foeniculum,Parasite Analyses,,small conopid
ESI,2023-261,Apidae,Bombus,rufocinctus,6/26/24,C261,1,0,1,0,0,0,1,2km-002,2.00,8/13/23,2,Eutrochium,maculatum,Parasite Analyses,,medium conopid
ESI,2023-258,Apidae,Bombus,impatiens,6/26/24,C258,1,1,0,0,0,0,1,2km-002,2.00,8/13/23,2,Silphium,integrifolium,Parasite Analyses,,large conopid
ESI,2023-257,Apidae,Bombus,impatiens,6/26/24,C257,1,1,0,0,0,0,1,2km-002,2.00,8/13/23,2,Silphium,integrifolium,Parasite Analyses,,small conopid
ESI,2023-252,Apidae,Bombus,griseocollis,6/26/24,C252,1,1,0,0,0,0,1,2km-002,2.00,8/13/23,2,Eutrochium,maculatum,Parasite Analyses,,large conopid
ESI,2023-230,Apidae,Bombus,griseocollis,6/11/24,C230,1,1,0,0,0,0,1,1km-004,1.00,8/13/23,2,Monarda,fistulosa,Parasite Analyses,,medium conopid
ESI,2023-229,Apidae,Bombus,griseocollis,6/11/24,C229,1,1,0,0,0,0,1,1km-004,1.00,8/13/23,2,Monarda,fistulosa,Parasite Analyses,,possible conopid? seperated it just in case
ESI,2023-219,Apidae,Bombus,impatiens,6/25/24,C219,1,1,0,0,0,0,1,1km-003,1.00,8/12/23,2,Monarda,fistulosa,Parasite Analyses,,
ESI,2023-204,Apidae,Bombus,griseocollis,6/24/24,C204,1,0,1,0,0,0,1,1km-002,1.00,8/12/23,2,Silphium,perfoliatum,Parasite Analyses,,Large Conopid
ESI,2023-180,Apidae,Bombus,impatiens,6/5/24,C180,1,1,0,0,0,0,1,0.5km-004,0.50,8/13/23,2,Monarda,fistulosa,Parasite Analyses,,"yellowed and inflated hindgut, medium conopid"
ESI,2023-178,Apidae,Bombus,impatiens,6/5/24,C178,1,1,0,0,0,0,1,0.5km-004,0.50,8/13/23,2,Monarda,fistulosa,Parasite Analyses,,medium-large conopid
ESI,2023-175,Apidae,Bombus,griseocollis,6/5/24,C175,1,0,1,0,0,0,1,0.5km-004,0.50,8/13/23,2,Monarda,fistulosa,Parasite Analyses,,"massive late stage conopid, gut reduced and flattened"
ESI,2023-172,Apidae,Bombus,griseocollis,6/5/24,C172,1,1,0,0,0,0,1,0.5km-004,0.50,8/13/23,2,Monarda,fistulosa,Parasite Analyses,,medium conopid
ESI,2023-159,Apidae,Bombus,impatiens,6/3/24,C159,1,1,0,0,0,0,1,0.5km-003,0.50,8/13/23,2,Monarda,fistulosa,Parasite Analyses,,large parasitic conopid larvae seen
ESI,2023-106,Apidae,Bombus,impatiens,7/2/24,C106,1,1,0,0,0,0,1,2km-003,2.00,7/24/23,1,Monarda,fistulosa,Parasite Analyses,,Huge conopid
ESI,2023-104,Apidae,Bombus,impatiens,7/2/24,C104,1,1,0,0,0,0,1,2km-003,2.00,7/24/23,1,Monarda,fistulosa,Parasite Analyses,,large conopid
ESI,2023-099,Apidae,Bombus,impatiens,7/2/24,C099,1,1,0,0,0,0,1,2km-002,2.00,7/23/23,1,Pycnanthemum,tenuifolium,Parasite Analyses,,"medum conopid, dark in color"
ESI,2023-098,Apidae,Bombus,impatiens,7/2/24,C098,1,1,0,0,0,0,1,2km-002,2.00,7/23/23,1,Pycnanthemum,tenuifolium,Parasite Analyses,,medium conopid
ESI,2023-097,Apidae,Bombus,griseocollis,7/2/24,C097,1,0,1,0,0,0,1,2km-002,2.00,7/23/23,1,Pycnanthemum,tenuifolium,Parasite Analyses,,"Very huge conopid, conopid is black in color"
ESI,2023-076,Apidae,Bombus,fervidus,7/2/24,C076,1,1,0,0,0,0,1,1km-004,1.00,7/23/23,1,Veronicastrum,virginicum,Parasite Analyses,,small pale conopid
ESI,2023-067,Apidae,Bombus,rufocinctus,7/3/24,C067,1,1,0,0,0,0,1,1km-002,1.00,7/24/23,1,Veronicastrum,virginicum,Parasite Analyses,,medium conopid
ESI,2023-065,Apidae,Bombus,impatiens,7/3/24,C065,1,1,0,0,0,0,1,1km-002,1.00,7/24/23,1,Monarda,fistulosa,Parasite Analyses,,small conopid
ESI,2023-037,Apidae,Bombus,auricomus,6/27/24,C037,1,1,0,0,0,0,1,0.5km-004,0.50,7/23/23,1,Monarda,fistulosa,Parasite Analyses,,large conopid
ESI,2023-018,Apidae,Bombus,auricomus,6/27/24,C018,1,1,0,0,0,0,1,0.5km-002,0.50,7/23/23,1,Monarda,fistulosa,Parasite Analyses,,medium conopid
ESI,2023-006,Apidae,Bombus,impatiens,6/27/24,C006,1,1,0,0,0,0,1,0.5km-001,0.50,7/24/23,1,Veronicastrum,virginicum,Parasite Analyses,,medium conopid
ESI,2023-005,Apidae,Bombus,impatiens,6/27/24,C005,1,1,0,0,0,0,1,0.5km-001,0.50,7/24/23,1,Veronicastrum,virginicum,Parasite Analyses,,small cnpd
ESI,2023-133,Apidae,Apis,mellifera,6/10/24,0,0,1,0,0,0,1,1,0.5km-002,0.50,8/12/23,2,Silphium,integrifolium,Parasite Analyses,,
ESI,2023-094,Apidae,Apis,mellifera,7/2/24,0,0,1,0,0,0,1,1,2km-002,2.00,7/23/23,1,Pycnanthemum,tenuifolium,Parasite Analyses,,
ESI,2023-122,Apidae,Bombus,auricomus,6/6/24,0,0,0,1,0,0,1,1,0.5km-001,0.50,8/12/23,2,Liatris,pycnostachya,Parasite Analyses,,small collections of pale dots on upper ventral abdomen
ESI,2023-019,Apidae,Bombus,auricomus,6/27/24,0,0,1,0,0,0,1,1,0.5km-002,0.50,7/23/23,1,Monarda,fistulosa,Parasite Analyses,,"huge bee, lots of fat body and guts"
ESI,2023-215,Apidae,Bombus,auricomus,6/25/24,0,0,0,1,0,0,1,1,1km-003,1.00,8/12/23,2,Parthenium,integrifolium,Parasite Analyses,,
ESI,2023-227,Apidae,Bombus,auricomus,6/11/24,0,0,0,1,0,0,1,1,1km-004,1.00,8/13/23,2,Monarda,fistulosa,Parasite Analyses,,
ESI,2023-110,Apidae,Bombus,auricomus,7/2/24,0,0,0,1,0,0,1,1,2km-004,2.00,7/25/23,1,Arnoglossum,sp.,Parasite Analyses,,
ESI,2023-111,Apidae,Bombus,auricomus,7/2/24,0,0,0,1,0,0,1,1,2km-004,2.00,7/25/23,1,Arnoglossum,sp.,Parasite Analyses,,
ESI,2023-092A,Apidae,Bombus,bimaculatus,7/1/24,0,0,1,0,0,0,1,1,2km-001,2.00,7/24/23,1,Monarda,fistulosa,Parasite Analyses,,
ESI,2023-169,Apidae,Bombus,citrinus,6/5/24,0,0,0,1,0,0,1,1,0.5km-004,0.50,8/13/23,2,Monarda,fistulosa,Parasite Analyses,,
ESI,2023-186,Apidae,Bombus,fervidus,6/10/24,0,0,1,0,0,0,1,1,1km-001,1.00,8/13/23,2,Monarda,fistulosa,Parasite Analyses,,a LOT of fat stores
ESI,2023-088,Apidae,Bombus,fervidus,7/2/24,0,0,1,0,0,0,1,1,2km-001,2.00,7/24/23,1,Monarda,fistulosa,Parasite Analyses,,lots of fat body
ESI,2023-144,Apidae,Bombus,griseocollis,6/10/24,0,0,0,1,0,0,1,1,0.5km-002,0.50,8/12/23,2,Monarda,fistulosa,Parasite Analyses,,
ESI,2023-158,Apidae,Bombus,griseocollis,6/3/24,0,0,0,1,0,0,1,1,0.5km-003,0.50,8/13/23,2,Monarda,fistulosa,Parasite Analyses,,
ESI,2023-021,Apidae,Bombus,impatiens,6/27/24,0,0,1,0,0,0,1,1,0.5km-002,0.50,7/23/23,1,Monarda,fistulosa,Parasite Analyses,,
ESI,2023-132,Apidae,Bombus,rufocinctus,6/6/24,0,0,0,1,0,0,1,1,0.5km-001,0.50,8/12/23,2,Pycnanthemum,tenuifolium,Parasite Analyses,,
ESI,2023-247,Apidae,Bombus,rufocinctus,6/25/24,0,0,0,1,0,0,1,1,2km-001,2.00,8/12/23,2,Silphium,integrifolium,Parasite Analyses,,
ESI,2023-168,Apidae,Bombus,bimaculatus,6/5/24,0,0,0,1,1,0,0,1,0.5km-004,0.50,8/13/23,2,Monarda,fistulosa,Parasite Analyses,,
ESI,2023-119,Apidae,Apis,mellifera,6/6/24,0,0,1,0,0,1,0,1,0.5km-001,0.50,8/12/23,2,Pycnanthemum,tenuifolium,Parasite Analyses,,"organs shrivelled and broken down, no fat reserves"
ESI,2023-014,Apidae,Apis,mellifera,6/27/24,0,0,1,0,0,1,0,1,0.5km-002,0.50,7/23/23,1,Veronicastrum,virginicum,Parasite Analyses,,
ESI,2023-136,Apidae,Apis,mellifera,6/7/24,0,0,1,0,0,1,0,1,0.5km-002,0.50,8/12/23,2,Silphium,integrifolium,Parasite Analyses,,
ESI,2023-152,Apidae,Apis,mellifera,6/3/24,0,0,1,0,0,1,0,1,0.5km-003,0.50,8/13/23,2,Silphium,perfoliatum,Parasite Analyses,,
